id,item_id,dept_id,cat_id,store_id,state_id,d,demand,date,wm_yr_wk,weekday,wday,month,year,sell_price,sales_revenue
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_1,98,2011-01-29,11101,Saturday,1,1,2011,1.48,145.04
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_2,85,2011-01-30,11101,Sunday,2,1,2011,1.48,125.8
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_3,47,2011-01-31,11101,Monday,3,1,2011,1.48,69.56
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_4,56,2011-02-01,11101,Tuesday,4,2,2011,1.48,82.88
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_5,51,2011-02-02,11101,Wednesday,5,2,2011,1.48,75.48
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_6,60,2011-02-03,11101,Thursday,6,2,2011,1.48,88.8
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_7,63,2011-02-04,11101,Friday,7,2,2011,1.48,93.24
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_8,96,2011-02-05,11102,Saturday,1,2,2011,1.48,142.07999999999998
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_9,95,2011-02-06,11102,Sunday,2,2,2011,1.48,140.6
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_10,93,2011-02-07,11102,Monday,3,2,2011,1.48,137.64
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_11,44,2011-02-08,11102,Tuesday,4,2,2011,1.48,65.12
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_12,60,2011-02-09,11102,Wednesday,5,2,2011,1.48,88.8
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_13,52,2011-02-10,11102,Thursday,6,2,2011,1.48,76.96
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_14,91,2011-02-11,11102,Friday,7,2,2011,1.48,134.68
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_15,133,2011-02-12,11103,Saturday,1,2,2011,1.48,196.84
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_16,108,2011-02-13,11103,Sunday,2,2,2011,1.48,159.84
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_17,50,2011-02-14,11103,Monday,3,2,2011,1.48,74.0
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_18,98,2011-02-15,11103,Tuesday,4,2,2011,1.48,145.04
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_19,59,2011-02-16,11103,Wednesday,5,2,2011,1.48,87.32
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_20,56,2011-02-17,11103,Thursday,6,2,2011,1.48,82.88
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_21,86,2011-02-18,11103,Friday,7,2,2011,1.48,127.28
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_22,97,2011-02-19,11104,Saturday,1,2,2011,1.48,143.56
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_23,104,2011-02-20,11104,Sunday,2,2,2011,1.48,153.92
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_24,58,2011-02-21,11104,Monday,3,2,2011,1.48,85.84
